QW_SEQ,CEN,P_MEHG
4334,TRUE,0.01
4451,FALSE,0.01
5002,FALSE,0.01
4574,TRUE,0.01
4575,TRUE,0.01
4576,TRUE,0.01
4580,TRUE,0.01
4581,TRUE,0.01
4582,TRUE,0.01
4586,TRUE,0.01
4587,FALSE,0.01
4588,FALSE,0.01
4590,TRUE,0.01
4591,TRUE,0.01
4593,FALSE,0.01
4595,TRUE,0.01
4597,TRUE,0.01
3643,TRUE,0.0101
3656,FALSE,0.0101
3482,TRUE,0.0101
4779,TRUE,0.0101
3642,TRUE,0.0102
3490,TRUE,0.0102
3495,TRUE,0.0102
3500,TRUE,0.0102
4942,TRUE,0.0102
3645,TRUE,0.0103
3631,FALSE,0.0103
3507,TRUE,0.0104
3535,TRUE,0.0104
3650,TRUE,0.0105
3667,FALSE,0.0105
3481,TRUE,0.0105
3484,TRUE,0.0105
3537,TRUE,0.0105
3483,TRUE,0.0106
3486,TRUE,0.0106
3501,TRUE,0.0106
3534,TRUE,0.0106
5140,TRUE,0.0106
5188,FALSE,0.0106
3489,TRUE,0.0107
5228,FALSE,0.0107
3503,TRUE,0.0108
5138,TRUE,0.0108
5139,TRUE,0.0108
3492,TRUE,0.0109
3506,TRUE,0.0109
5130,TRUE,0.0109
4021,FALSE,0.011
3520,FALSE,0.0111
5141,TRUE,0.0111
3532,TRUE,0.0112
3719,FALSE,0.0113
4076,FALSE,0.0113
4788,FALSE,0.0113
5127,TRUE,0.0113
3531,TRUE,0.0114
5128,TRUE,0.0114
5137,TRUE,0.0114
3644,FALSE,0.0115
3731,FALSE,0.0115
3717,FALSE,0.0116
3979,FALSE,0.0117
5126,TRUE,0.0117
5129,TRUE,0.0117
5193,FALSE,0.0118
4781,TRUE,0.0119
4785,FALSE,0.0119
3670,TRUE,0.012
4126,FALSE,0.012
3850,TRUE,0.012
5192,FALSE,0.012
3735,FALSE,0.0121
5135,TRUE,0.0121
5195,FALSE,0.0121
4787,FALSE,0.0122
4102,FALSE,0.0123
5211,FALSE,0.0123
4111,FALSE,0.0124
3786,FALSE,0.0124
4774,FALSE,0.0124
5136,TRUE,0.0124
5198,TRUE,0.0124
3465,TRUE,0.0125
3519,FALSE,0.0127
4789,FALSE,0.0128
3658,FALSE,0.0129
3634,FALSE,0.013
4474,TRUE,0.013
4481,TRUE,0.013
4272,FALSE,0.0131
4791,FALSE,0.0131
3467,TRUE,0.0132
4097,FALSE,0.0132
5201,FALSE,0.0132
5214,FALSE,0.0133
3944,FALSE,0.0134
3945,FALSE,0.0134
5191,FALSE,0.0134
3657,TRUE,0.0136
5213,FALSE,0.0137
3630,FALSE,0.0138
3733,TRUE,0.0139
3668,TRUE,0.014
3509,FALSE,0.014
5189,FALSE,0.014
3516,FALSE,0.0141
3699,TRUE,0.0142
3517,FALSE,0.0142
4009,TRUE,0.0142
4328,FALSE,0.0142
3665,FALSE,0.0144
4104,FALSE,0.0144
3518,FALSE,0.0145
3720,FALSE,0.0146
4085,FALSE,0.0146
3838,FALSE,0.015
3582,FALSE,0.0151
5103,FALSE,0.0151
3654,FALSE,0.0154
5202,FALSE,0.0157
3456,FALSE,0.0159
3510,FALSE,0.0159
3669,TRUE,0.016
4786,FALSE,0.0166
4248,FALSE,0.0168
3454,TRUE,0.0169
5131,FALSE,0.0169
4020,FALSE,0.017
4162,FALSE,0.017
3635,FALSE,0.0172
3640,FALSE,0.0176
3499,FALSE,0.0177
4086,FALSE,0.0178
5194,FALSE,0.0179
5107,FALSE,0.018
3461,FALSE,0.0181
3515,FALSE,0.0183
4770,FALSE,0.0184
3508,FALSE,0.0187
3449,TRUE,0.0188
3611,TRUE,0.0188
5238,TRUE,0.0188
3729,FALSE,0.0189
4030,FALSE,0.019
5199,FALSE,0.019
3639,FALSE,0.0192
3696,TRUE,0.0192
3633,FALSE,0.0194
3649,FALSE,0.0195
3700,TRUE,0.0196
5254,TRUE,0.0196
4282,FALSE,0.0197
5104,FALSE,0.0197
3946,FALSE,0.0199
3947,FALSE,0.0199
4016,FALSE,0.02
4043,FALSE,0.02
4053,FALSE,0.02
4055,FALSE,0.02
4121,FALSE,0.02
4127,FALSE,0.02
3803,FALSE,0.02
3818,FALSE,0.02
3831,FALSE,0.02
3835,FALSE,0.02
3843,FALSE,0.02
3845,FALSE,0.02
3874,FALSE,0.02
3875,FALSE,0.02
3995,FALSE,0.02
3996,FALSE,0.02
4461,FALSE,0.02
4542,FALSE,0.02
4561,FALSE,0.02
4562,FALSE,0.02
4161,FALSE,0.02
4237,FALSE,0.02
4247,FALSE,0.02
4249,FALSE,0.02
4276,FALSE,0.02
4283,FALSE,0.02
4287,FALSE,0.02
4288,FALSE,0.02
4291,FALSE,0.02
4308,FALSE,0.02
4310,FALSE,0.02
4316,FALSE,0.02
4325,FALSE,0.02
4445,FALSE,0.02
4449,FALSE,0.02
4450,FALSE,0.02
4457,FALSE,0.02
4967,FALSE,0.02
5011,FALSE,0.02
5014,FALSE,0.02
5018,FALSE,0.02
5121,FALSE,0.02
4773,FALSE,0.0201
4149,FALSE,0.0202
4278,FALSE,0.0202
3579,TRUE,0.0203
3577,FALSE,0.0204
5235,FALSE,0.0204
3716,TRUE,0.0205
5156,FALSE,0.0205
3514,FALSE,0.0206
3511,FALSE,0.0209
5208,FALSE,0.0209
3512,FALSE,0.021
3829,FALSE,0.021
4294,FALSE,0.021
4571,FALSE,0.021
3651,FALSE,0.0211
3448,TRUE,0.0211
4960,TRUE,0.0211
5133,FALSE,0.0212
5252,TRUE,0.0212
4783,FALSE,0.0213
3463,FALSE,0.0214
3842,FALSE,0.0214
5109,FALSE,0.0215
3575,TRUE,0.0216
3629,TRUE,0.0216
3710,FALSE,0.0218
3725,FALSE,0.022
5259,FALSE,0.022
3828,FALSE,0.0221
3713,TRUE,0.0222
3724,FALSE,0.0222
3653,FALSE,0.0224
3610,TRUE,0.0224
5108,FALSE,0.0224
5239,FALSE,0.0224
3525,TRUE,0.0225
3528,TRUE,0.0225
3662,FALSE,0.0226
3605,TRUE,0.0227
3594,FALSE,0.0228
3527,TRUE,0.0231
3612,FALSE,0.0231
3470,FALSE,0.0232
3460,FALSE,0.0233
3593,TRUE,0.0233
3606,TRUE,0.0234
4468,FALSE,0.0235
5120,FALSE,0.0235
5142,FALSE,0.0235
3561,TRUE,0.0236
3573,FALSE,0.0236
3600,TRUE,0.0236
3604,TRUE,0.0236
3791,FALSE,0.0236
4798,TRUE,0.0237
4803,TRUE,0.0237
3730,FALSE,0.0238
3948,FALSE,0.0238
3951,FALSE,0.0238
4264,FALSE,0.0238
3652,FALSE,0.0239
3529,TRUE,0.0239
4115,FALSE,0.0239
3739,FALSE,0.0239
3722,FALSE,0.024
4151,FALSE,0.024
4296,FALSE,0.024
4795,TRUE,0.0242
3559,TRUE,0.0243
3576,TRUE,0.0243
3603,TRUE,0.0243
5197,FALSE,0.0243
3524,TRUE,0.0244
3584,TRUE,0.0244
3627,TRUE,0.0244
3574,TRUE,0.0245
3597,TRUE,0.0245
4802,TRUE,0.0246
3723,FALSE,0.0248
3562,FALSE,0.0248
3596,TRUE,0.0248
4796,FALSE,0.0248
3844,FALSE,0.025
4107,FALSE,0.0251
3570,TRUE,0.0252
3942,FALSE,0.0253
3943,FALSE,0.0253
5264,TRUE,0.0253
3711,TRUE,0.0255
4801,TRUE,0.0255
3609,TRUE,0.0256
3523,TRUE,0.0258
4793,TRUE,0.0259
3560,TRUE,0.026
3598,TRUE,0.026
3841,FALSE,0.026
3727,FALSE,0.0261
3554,TRUE,0.0262
3591,TRUE,0.0262
3595,TRUE,0.0262
3613,TRUE,0.0262
3589,TRUE,0.0263
3592,TRUE,0.0264
3556,TRUE,0.0265
3526,TRUE,0.0266
4784,FALSE,0.0266
3698,TRUE,0.0267
3548,TRUE,0.0267
3581,TRUE,0.0269
4305,FALSE,0.027
5256,TRUE,0.027
5261,TRUE,0.027
3614,TRUE,0.0271
4027,FALSE,0.0271
5105,FALSE,0.0273
5153,FALSE,0.0273
3714,TRUE,0.0275
3558,TRUE,0.0275
3715,TRUE,0.0276
3588,TRUE,0.0277
4819,FALSE,0.0278
3702,TRUE,0.0279
3447,TRUE,0.0279
3568,TRUE,0.0279
3583,TRUE,0.0279
3625,TRUE,0.0279
3626,TRUE,0.0279
3679,FALSE,0.028
4558,TRUE,0.028
4331,FALSE,0.028
5190,FALSE,0.028
3661,TRUE,0.0281
3557,TRUE,0.0282
3565,FALSE,0.0282
3555,TRUE,0.0283
5106,FALSE,0.0283
5253,TRUE,0.0284
4309,FALSE,0.0285
3734,FALSE,0.0286
3569,TRUE,0.0287
4026,FALSE,0.0287
4823,FALSE,0.0287
3590,TRUE,0.0288
3522,FALSE,0.029
4330,FALSE,0.029
5122,FALSE,0.029
5210,FALSE,0.0291
5265,FALSE,0.0291
3585,TRUE,0.0293
5233,FALSE,0.0293
3546,TRUE,0.0295
3664,FALSE,0.0296
3744,FALSE,0.0296
4250,FALSE,0.0297
3549,TRUE,0.0299
3170,TRUE,0.03
3171,FALSE,0.03
3172,TRUE,0.03
3174,FALSE,0.03
3176,TRUE,0.03
3187,FALSE,0.03
3196,TRUE,0.03
3425,FALSE,0.03
3427,FALSE,0.03
3431,TRUE,0.03
3434,FALSE,0.03
3440,FALSE,0.03
3443,FALSE,0.03
3618,FALSE,0.03
4144,FALSE,0.03
4152,FALSE,0.03
3797,FALSE,0.03
3798,FALSE,0.03
3817,FALSE,0.03
3836,FALSE,0.03
4546,FALSE,0.03
4197,FALSE,0.03
4234,FALSE,0.03
4238,FALSE,0.03
4240,FALSE,0.03
4251,FALSE,0.03
4252,FALSE,0.03
4255,FALSE,0.03
4257,FALSE,0.03
4258,FALSE,0.03
4260,FALSE,0.03
4266,FALSE,0.03
4275,FALSE,0.03
4303,FALSE,0.03
4306,FALSE,0.03
4318,FALSE,0.03
4447,FALSE,0.03
5000,FALSE,0.03
5006,FALSE,0.03
5200,FALSE,0.0301
5240,FALSE,0.0301
4578,TRUE,0.0307
4799,FALSE,0.0307
3703,FALSE,0.031
4150,FALSE,0.031
3628,TRUE,0.0312
3721,FALSE,0.0314
3464,FALSE,0.0315
3469,FALSE,0.0315
5209,FALSE,0.0319
3795,FALSE,0.032
3834,FALSE,0.032
3982,FALSE,0.032
3785,TRUE,0.0321
3827,FALSE,0.0321
3624,TRUE,0.0322
3637,FALSE,0.0323
5143,FALSE,0.0323
3571,FALSE,0.0326
3544,FALSE,0.0328
4263,FALSE,0.0328
5241,FALSE,0.0328
3632,FALSE,0.0329
5255,TRUE,0.0329
3687,FALSE,0.033
4033,FALSE,0.033
3811,FALSE,0.033
3837,FALSE,0.033
4541,FALSE,0.033
5257,TRUE,0.0331
4467,FALSE,0.0332
3659,FALSE,0.0333
3459,FALSE,0.0335
3636,FALSE,0.0335
4155,FALSE,0.034
3799,FALSE,0.034
3547,FALSE,0.0341
4245,FALSE,0.0341
4963,FALSE,0.0345
3545,FALSE,0.0348
3742,TRUE,0.0348
3813,FALSE,0.035
4536,FALSE,0.035
5110,FALSE,0.035
4961,FALSE,0.0351
5147,FALSE,0.0351
5230,FALSE,0.0351
5151,FALSE,0.0353
5250,FALSE,0.0353
4108,FALSE,0.0354
3878,FALSE,0.0358
5132,FALSE,0.0358
3810,FALSE,0.036
3830,FALSE,0.036
5205,FALSE,0.036
5117,FALSE,0.0361
3567,FALSE,0.0363
3743,TRUE,0.0364
5231,FALSE,0.0367
4235,FALSE,0.0368
4792,FALSE,0.0369
4022,FALSE,0.037
3794,FALSE,0.037
4540,FALSE,0.037
4959,FALSE,0.037
4811,FALSE,0.037
3968,FALSE,0.0371
3741,TRUE,0.0372
5229,FALSE,0.0372
4297,FALSE,0.0373
3550,FALSE,0.0374
5204,FALSE,0.0376
3638,FALSE,0.0377
5146,FALSE,0.0377
5115,FALSE,0.0378
3997,FALSE,0.038
3660,FALSE,0.0382
3586,FALSE,0.0385
4273,FALSE,0.0388
4017,FALSE,0.039
4196,FALSE,0.039
5149,FALSE,0.039
5116,FALSE,0.0393
3478,FALSE,0.0394
4319,FALSE,0.0394
3709,FALSE,0.0395
3689,FALSE,0.0397
3693,FALSE,0.0397
5144,FALSE,0.0398
3580,FALSE,0.0399
3169,FALSE,0.04
3180,FALSE,0.04
3188,FALSE,0.04
3429,FALSE,0.04
3444,FALSE,0.04
4005,FALSE,0.04
4010,FALSE,0.04
4012,FALSE,0.04
3814,FALSE,0.04
4465,FALSE,0.04
4537,FALSE,0.04
4565,FALSE,0.04
4242,FALSE,0.04
4243,FALSE,0.04
4259,FALSE,0.04
4292,FALSE,0.04
4317,FALSE,0.04
5003,FALSE,0.04
4822,FALSE,0.04
4446,FALSE,0.0405
4817,FALSE,0.0408
3793,FALSE,0.041
3993,FALSE,0.041
4556,FALSE,0.041
5207,FALSE,0.0412
3885,FALSE,0.0413
4270,FALSE,0.0414
3572,FALSE,0.0418
4559,FALSE,0.042
4160,FALSE,0.042
5237,FALSE,0.042
3738,FALSE,0.0422
3707,FALSE,0.0424
4452,FALSE,0.0425
4241,FALSE,0.0436
3677,FALSE,0.0437
4454,FALSE,0.0439
3701,FALSE,0.044
3728,FALSE,0.044
4557,FALSE,0.044
4165,FALSE,0.044
4289,FALSE,0.0443
5187,FALSE,0.0446
3457,FALSE,0.0449
3792,FALSE,0.0449
4552,FALSE,0.045
3552,FALSE,0.0452
3675,FALSE,0.0455
4966,FALSE,0.0458
3839,FALSE,0.046
3690,FALSE,0.0471
4008,FALSE,0.0471
3953,FALSE,0.0474
3954,FALSE,0.0474
3685,FALSE,0.0478
4456,FALSE,0.0479
4553,FALSE,0.048
4333,FALSE,0.0483
4572,TRUE,0.0483
5236,FALSE,0.0483
3740,FALSE,0.0489
3736,FALSE,0.0495
4261,FALSE,0.0495
4268,FALSE,0.0495
3695,FALSE,0.0496
3178,FALSE,0.05
3420,FALSE,0.05
3432,FALSE,0.05
4002,FALSE,0.05
3816,FALSE,0.05
4459,FALSE,0.05
4321,FALSE,0.05
4999,FALSE,0.05
4812,FALSE,0.05
3647,FALSE,0.0507
4286,FALSE,0.0507
4284,FALSE,0.051
4313,FALSE,0.0518
3608,FALSE,0.0524
3623,FALSE,0.0525
3648,FALSE,0.0528
3615,FALSE,0.0531
4554,FALSE,0.054
4244,FALSE,0.0545
3869,FALSE,0.055
3950,FALSE,0.055
4448,FALSE,0.055
4314,FALSE,0.0553
3453,FALSE,0.0557
3521,FALSE,0.0557
3666,FALSE,0.0559
3812,FALSE,0.056
3726,FALSE,0.0563
3694,FALSE,0.0565
4797,FALSE,0.0567
4577,FALSE,0.057
4800,FALSE,0.0572
4279,FALSE,0.0573
4311,FALSE,0.0573
4539,FALSE,0.058
4555,FALSE,0.058
5148,FALSE,0.0582
4962,FALSE,0.0583
3616,FALSE,0.0584
3564,FALSE,0.0585
4444,FALSE,0.0588
3883,FALSE,0.059
3674,FALSE,0.0594
4004,FALSE,0.0598
3179,FALSE,0.06
3183,FALSE,0.06
3195,FALSE,0.06
3426,FALSE,0.06
3433,FALSE,0.06
4001,FALSE,0.06
4464,FALSE,0.06
4329,FALSE,0.06
4443,FALSE,0.06
3617,FALSE,0.0603
3530,FALSE,0.061
4128,FALSE,0.061
4473,FALSE,0.061
4267,FALSE,0.061
4299,FALSE,0.0618
3990,FALSE,0.062
4262,FALSE,0.062
5010,FALSE,0.062
3620,FALSE,0.0623
4535,FALSE,0.0623
4088,FALSE,0.0626
3692,FALSE,0.063
4300,FALSE,0.063
4584,FALSE,0.0631
5124,FALSE,0.0638
3599,FALSE,0.064
5123,FALSE,0.0641
3619,FALSE,0.0646
3708,FALSE,0.065
4475,FALSE,0.065
5263,FALSE,0.0658
3846,FALSE,0.066
3451,FALSE,0.0661
3697,FALSE,0.0663
3718,FALSE,0.0663
4477,FALSE,0.067
3879,FALSE,0.068
4956,FALSE,0.0684
3445,FALSE,0.0692
3678,FALSE,0.0694
3566,TRUE,0.0694
3173,FALSE,0.07
3189,FALSE,0.07
3190,FALSE,0.07
3435,FALSE,0.07
3439,FALSE,0.07
3441,FALSE,0.07
4140,FALSE,0.07
3815,FALSE,0.07
4560,FALSE,0.07
3688,FALSE,0.0706
3621,FALSE,0.071
5015,FALSE,0.0711
4054,FALSE,0.072
3940,FALSE,0.072
3941,FALSE,0.072
4246,FALSE,0.0741
3963,FALSE,0.0742
3553,FALSE,0.0745
5224,FALSE,0.0747
4193,FALSE,0.075
3563,FALSE,0.0751
3471,FALSE,0.0753
5219,FALSE,0.0755
4236,FALSE,0.0757
3646,FALSE,0.076
4281,FALSE,0.076
4759,FALSE,0.0763
4472,FALSE,0.0767
4816,FALSE,0.0767
3477,FALSE,0.0781
3663,FALSE,0.0787
4201,FALSE,0.079
3452,FALSE,0.0791
3992,FALSE,0.0793
4460,FALSE,0.0795
3192,FALSE,0.08
3423,FALSE,0.08
4307,FALSE,0.0809
3472,FALSE,0.0811
4954,FALSE,0.0823
3682,FALSE,0.0826
3607,FALSE,0.0837
3966,FALSE,0.0837
5112,FALSE,0.0846
4301,FALSE,0.085
5232,FALSE,0.0851
3886,FALSE,0.086
4471,FALSE,0.0861
4455,FALSE,0.0861
3972,FALSE,0.087
3622,FALSE,0.0877
3684,FALSE,0.0884
5111,FALSE,0.0914
4462,FALSE,0.092
5134,FALSE,0.093
3513,FALSE,0.0948
4466,FALSE,0.0965
3175,FALSE,0.1
3181,FALSE,0.1
3430,FALSE,0.1
3601,FALSE,0.1009
5155,FALSE,0.1011
5251,FALSE,0.1026
5154,FALSE,0.1028
4332,FALSE,0.1032
3475,FALSE,0.1047
5118,FALSE,0.1047
3551,FALSE,0.1054
4280,FALSE,0.1068
3737,FALSE,0.1071
3602,FALSE,0.1076
3182,FALSE,0.11
3185,FALSE,0.11
4955,FALSE,0.1115
3587,FALSE,0.112
3468,FALSE,0.1124
5145,FALSE,0.1124
3578,FALSE,0.113
4458,FALSE,0.114
5119,FALSE,0.1144
3680,FALSE,0.1145
4579,FALSE,0.122
4254,FALSE,0.123
3691,FALSE,0.125
4794,FALSE,0.1297
3672,FALSE,0.1308
4239,FALSE,0.1315
3977,FALSE,0.1317
5114,FALSE,0.1319
3476,FALSE,0.1325
5234,FALSE,0.1341
3673,FALSE,0.136
3676,FALSE,0.1387
4453,FALSE,0.139
3186,FALSE,0.14
3193,FALSE,0.14
3438,FALSE,0.14
4964,TRUE,0.1408
4958,FALSE,0.1494
4271,FALSE,0.1523
3683,FALSE,0.1548
4957,FALSE,0.1567
3473,FALSE,0.1569
3436,FALSE,0.16
5125,FALSE,0.1613
4253,FALSE,0.1619
3462,FALSE,0.1632
5262,FALSE,0.1633
3458,FALSE,0.1667
3455,FALSE,0.1682
4194,FALSE,0.169
3474,FALSE,0.1706
4769,FALSE,0.1727
3681,FALSE,0.1794
3428,FALSE,0.18
4583,FALSE,0.187
4195,FALSE,0.19
3705,FALSE,0.1975
3446,FALSE,0.2069
3686,FALSE,0.2083
3422,FALSE,0.21
5258,FALSE,0.2108
3450,FALSE,0.2167
3191,FALSE,0.22
5223,FALSE,0.2289
4302,FALSE,0.23
5260,FALSE,0.2337
5222,FALSE,0.2358
3442,FALSE,0.24
5221,FALSE,0.2492
4573,FALSE,0.25
4973,FALSE,0.2547
4478,FALSE,0.267
4322,FALSE,0.2677
3184,FALSE,0.27
4006,FALSE,0.27
5227,FALSE,0.2869
3177,FALSE,0.3
4463,FALSE,0.307
3704,FALSE,0.3252
3999,FALSE,0.3309
3706,FALSE,0.3406
5220,FALSE,0.3438
4290,FALSE,0.3487
4003,FALSE,0.349
3958,FALSE,0.3519
3960,FALSE,0.3519
4442,FALSE,0.3562
5226,FALSE,0.3725
3194,FALSE,0.38
3437,FALSE,0.4
4323,FALSE,0.408
5225,FALSE,0.4458
3712,FALSE,0.5
4256,FALSE,0.5523
4007,FALSE,0.661
4825,FALSE,0.724
4000,FALSE,0.926
4589,FALSE,1.738
5247,FALSE,1.9729
4585,FALSE,4.796
