QW_SEQ,SITE_ID,SITE_NAME,SAMPLE_DATE,LATITUDE,LONGITUDE,R_TOT_ORG_CARBON,TOT_ORG_CARBON_MGL,UPD_TOT_ORG_CARBON,R_DISS_ORG_CARBON,DISS_ORG_CARBON_MGL,R_SULFATE_MGL,SULFATE_MGL,R_PH,PH,R_TOT_UNFILTERED_MEHG,TOT_UNFILTERED_MEHG_NGL,UPD_TOT_UNFILTERED_MEHG,SUBS_R_TOT_UNFILTERED_MEHG,SUBS_TOT_UNFILTERED_MEHG,R_DISS_MEHG,DISS_MEHG_NGL,UPD_DISS_MEHG,SUBS_R_DISS_MEHG,SUBS_DISS_MEHG,R_PARTICULATE_MEHG,PARTICULATE_MEHG_NGL,SUBS_R_PARTICULATE_MEHG,SUBS_PARTICULATE_MEHG,R_TOT_UNFILTERED_HG,TOT_UNFILTERED_HG_NGL,UPD_TOT_UNFILTERED_HG,R_PARTICULATE_HG,PARTICULATE_HG_NGL,R_DISS_HG,DISS_HG_NGL,UPD_DISS_HG,SUBS_R_DISS_HG,SUBS_DISS_HG,SOURCE_TABLE
2895,05074765,"GOOD LAKE IMPOUNDMENT, MID-POOL, NEAR ERIE, MN",6/15/1998,48.0171806,-95.5572311,,22.7,,,,,13,,7.6,,0.43,,,0.43,,0.27,,,0.27,,,,,,2.39,,,,,2.12,,,2.12,HG_MINNESOTANWIS_20090121
2896,05074765,"GOOD LAKE IMPOUNDMENT, MID-POOL, NEAR ERIE, MN",8/18/1998,48.0171806,-95.5572311,,22.8,,,21.9,,,,7.7,,0.11,,,0.11,,0.1,,,0.1,,,,,,1.01,,,,,0.85,,,0.85,HG_MINNESOTANWIS_20090121
2897,05074765,"GOOD LAKE IMPOUNDMENT, MID-POOL, NEAR ERIE, MN",9/3/1998,48.0171806,-95.5572311,,21.8,,,,,,,7.8,,0.09,,,0.09,,,,,,,,,,,0.9,,,,,,,,,HG_MINNESOTANWIS_20090121
2898,05074765,"GOOD LAKE IMPOUNDMENT, MID-POOL, NEAR ERIE, MN",9/22/1998,48.0171806,-95.5572311,,22.6,,,21.5,,,,8.3,,0.07,,,0.07,,0.04,,,0.04,,,,,,1.12,,,,,0.9,,,0.9,HG_MINNESOTANWIS_20090121
2899,05074765,"GOOD LAKE IMPOUNDMENT, MID-POOL, NEAR ERIE, MN",10/14/1998,48.0171806,-95.5572311,,21.1,,,,,,,,,0.09,,,0.09,,,,,,,,,,,1.36,,,,,,,,,HG_MINNESOTANWIS_20090121
2900,05074765,"GOOD LAKE IMPOUNDMENT, MID-POOL, NEAR ERIE, MN",2/22/1999,48.0171806,-95.5572311,,29.6,,,,,,,7.3,,3.72,,,3.72,,,,,,,,,,,4.71,,,,,,,,,HG_MINNESOTANWIS_20090121
2901,05074765,"GOOD LAKE IMPOUNDMENT, MID-POOL, NEAR ERIE, MN",2/22/1999,48.0171806,-95.5572311,,30.6,,,,,,,7.2,,2.86,,,2.86,,,,,,,,,,,5.02,,,,,,,,,HG_MINNESOTANWIS_20090121
2902,05074770,"GOOD LAKE ABOVE OUTLET NEAR ERIE, MN",5/19/1998,48.0082914,-95.5513978,,18.1,,,,,,,8,,0.38,,,0.38,,0.23,,,0.23,,,,,,2.18,,,,,1.62,,,1.62,HG_MINNESOTANWIS_20090121
2903,05074770,"GOOD LAKE ABOVE OUTLET NEAR ERIE, MN",6/15/1998,48.0082914,-95.5513978,,24.7,,,,,,,7.2,,0.55,,,0.55,,0.34,,,0.34,,,,,,2.29,,,,,1.91,,,1.91,HG_MINNESOTANWIS_20090121
2904,05074780,"GOOD LAKE OUTLET NEAR ERIE, MN",4/29/1997,48.0080136,-95.55112,,14.2,,,,,,,7.4,,0.7,,,0.7,,,,,,,,,,,3.7,,,,,,,,,HG_MINNESOTANWIS_20090121
2905,05074780,"GOOD LAKE OUTLET NEAR ERIE, MN",5/7/1997,48.0080136,-95.55112,,16.1,,,,,,,7.6,,0.34,,,0.34,,,,,,,,,,,2.99,,,,,,,,,HG_MINNESOTANWIS_20090121
2906,05074780,"GOOD LAKE OUTLET NEAR ERIE, MN",5/20/1997,48.0080136,-95.55112,,18.1,,,,,,,7.2,,0.34,,,0.34,,,,,,,,,,,3.33,,,,,,,,,HG_MINNESOTANWIS_20090121
2907,05074780,"GOOD LAKE OUTLET NEAR ERIE, MN",7/14/1997,48.0080136,-95.55112,,,,,,,,,7.6,,0.96,,,0.96,,,,,,,,,,,3.25,,,,,,,,,HG_MINNESOTANWIS_20090121
2908,05074780,"GOOD LAKE OUTLET NEAR ERIE, MN",8/20/1997,48.0080136,-95.55112,,27.7,,,,,,,,,0.18,,,0.18,,,,,,,,,,,1.28,,,,,,,,,HG_MINNESOTANWIS_20090121
2909,05074780,"GOOD LAKE OUTLET NEAR ERIE, MN",12/16/1997,48.0080136,-95.55112,,27.2,,,,,,,8.2,,0.66,,,0.66,,,,,,,,,,,2.64,,,,,,,,,HG_MINNESOTANWIS_20090121
2910,05074780,"GOOD LAKE OUTLET NEAR ERIE, MN",2/17/1998,48.0080136,-95.55112,,36.5,,,,,,,7.2,,3.76,,,3.76,,,,,,,,,,,5.98,,,,,,,,,HG_MINNESOTANWIS_20090121
2911,05074780,"GOOD LAKE OUTLET NEAR ERIE, MN",3/18/1998,48.0080136,-95.55112,,21.6,,,,,,,7.2,,0.39,,,0.39,,0.36,,,0.36,,,,,,2.37,,,,,2.35,,,2.35,HG_MINNESOTANWIS_20090121
2912,05074780,"GOOD LAKE OUTLET NEAR ERIE, MN",6/4/1998,48.0080136,-95.55112,,,,,,,,,,,0.55,,,0.55,,,,,,,,,,,2.06,,,,,,,,,HG_MINNESOTANWIS_20090121
2913,05074780,"GOOD LAKE OUTLET NEAR ERIE, MN",7/8/1998,48.0080136,-95.55112,,21.5,,,,,,,,,0.41,,,0.41,,,,,,,,,,,2.2,,,,,,,,,HG_MINNESOTANWIS_20090121
2914,05074780,"GOOD LAKE OUTLET NEAR ERIE, MN",7/20/1998,48.0080136,-95.55112,,23.5,,,,,,,7.5,,0.33,,,0.33,,0.26,,,0.26,,,,,,2.27,,,,,1.8,,,1.8,HG_MINNESOTANWIS_20090121
2915,05074780,"GOOD LAKE OUTLET NEAR ERIE, MN",8/18/1998,48.0080136,-95.55112,,24,,,24,,,,7.8,,0.25,,,0.25,,0.24,,,0.24,,,,,,1.17,,,,,1.14,,,1.14,HG_MINNESOTANWIS_20090121
2916,05074780,"GOOD LAKE OUTLET NEAR ERIE, MN",9/22/1998,48.0080136,-95.55112,,19.4,,,28,,,,7.7,,0.2,,,0.2,,0.18,,,0.18,,,,,,0.93,,,,,1.32,,,1.32,HG_MINNESOTANWIS_20090121
2917,05074780,"GOOD LAKE OUTLET NEAR ERIE, MN",10/14/1998,48.0080136,-95.55112,,24.8,,,,,,,,,0.15,,,0.15,,,,,,,,,,,0.74,,,,,,,,,HG_MINNESOTANWIS_20090121
2918,05074780,"GOOD LAKE OUTLET NEAR ERIE, MN",1/20/1999,48.0080136,-95.55112,,30.3,,,,,,,7.1,,3,,,3,,,,,,,,,,,4.09,,,,,,,,,HG_MINNESOTANWIS_20090121
2919,05074780,"GOOD LAKE OUTLET NEAR ERIE, MN",2/22/1999,48.0080136,-95.55112,,30.7,,,,,,,7.5,,4.94,,,4.94,,,,,,,,,,,6.68,,,,,,,,,HG_MINNESOTANWIS_20090121
2920,05075380,"MOOSE RIVER IMPOUNDMENT, NORTH POOL, NR GRYGLA, MN",8/27/1997,48.4269142,-95.4377606,,21.7,,,,,,,8.3,,0.14,,,0.14,,,,,,,,,,,2.09,,,,,,,,,HG_MINNESOTANWIS_20090121
2921,05075380,"MOOSE RIVER IMPOUNDMENT, NORTH POOL, NR GRYGLA, MN",9/4/1997,48.4269142,-95.4377606,,20.2,,,,,,,8.1,,0.11,,,0.11,,,,,,,,,,,0.75,,,,,,,,,HG_MINNESOTANWIS_20090121
2922,05075380,"MOOSE RIVER IMPOUNDMENT, NORTH POOL, NR GRYGLA, MN",3/10/1998,48.4269142,-95.4377606,,15.4,,,,,,,7.4,,0.07,,,0.07,,,,,,,,,,,2.96,,,,,,,,,HG_MINNESOTANWIS_20090121
2923,05075380,"MOOSE RIVER IMPOUNDMENT, NORTH POOL, NR GRYGLA, MN",7/8/1998,48.4269142,-95.4377606,,20.6,,,,,0.35,,7.7,,0.12,,,0.12,,,,,,,,,,,1.36,,,,,,,,,HG_MINNESOTANWIS_20090121
2924,05075680,"MOOSE RIVER IMPOUNDMENT, SOUTH POOL, NR GRYGLA, MN",9/4/1997,48.3949678,-95.4724864,,27.4,,,,,,,8.1,,0.43,,,0.43,,,,,,,,,,,1.42,,,,,,,,,HG_MINNESOTANWIS_20090121
2925,05075680,"MOOSE RIVER IMPOUNDMENT, SOUTH POOL, NR GRYGLA, MN",3/10/1998,48.3949678,-95.4724864,,18.6,,,,,,,7.7,,0.24,,,0.24,,,,,,,,,,,4.4,,,,,,,,,HG_MINNESOTANWIS_20090121
2926,05075680,"MOOSE RIVER IMPOUNDMENT, SOUTH POOL, NR GRYGLA, MN",7/8/1998,48.3949678,-95.4724864,,,,,,,1.73,,7.5,,0.43,,,0.43,,,,,,,,,,,2.72,,,,,,,,,HG_MINNESOTANWIS_20090121
2927,05075680,"MOOSE RIVER IMPOUNDMENT, SOUTH POOL, NR GRYGLA, MN",9/2/1998,48.3949678,-95.4724864,,29.4,,,,,,,7.4,,0.25,,,0.25,,,,,,,,,,,1.62,,,,,,,,,HG_MINNESOTANWIS_20090121
2928,05061320,UNNAMED TRIB TO STONY CK ABV BIG SLOUGH NR ROLLAG,9/2/1997,46.7269031,-96.2797864,,20.4,,,,,,,7.9,,0.98,,,0.98,,,,,,,,,,,4.57,,,,,,,,,HG_MINNESOTANWIS_20090121
2929,05061320,UNNAMED TRIB TO STONY CK ABV BIG SLOUGH NR ROLLAG,7/6/1998,46.7269031,-96.2797864,,11,,,,,,,7.4,,1.09,,,1.09,,,,,,,,,,,3.92,,,,,,,,,HG_MINNESOTANWIS_20090121
2930,05061320,UNNAMED TRIB TO STONY CK ABV BIG SLOUGH NR ROLLAG,7/7/1998,46.7269031,-96.2797864,,10.2,,,,,,,7.4,,0.84,,,0.84,,0.48,,,0.48,,,,,,3.95,,,,,2.33,,,2.33,HG_MINNESOTANWIS_20090121
2931,05061330,"UNNAMED POND, TRIB. TO BIG SLOUGH NEAR ROLLAG, MN",3/9/1998,46.7296808,-96.2961756,,15.6,,,,,,,8.4,,0.4,,,0.4,,,,,,,,,,,3.58,,,,,,,,,HG_MINNESOTANWIS_20090121
2932,05061330,"UNNAMED POND, TRIB. TO BIG SLOUGH NEAR ROLLAG, MN",7/6/1998,46.7296808,-96.2961756,,27,,,,,125,,8.9,,3.67,,,3.67,,0.32,,,0.32,,,,,,8.49,,,,,1.71,,,1.71,HG_MINNESOTANWIS_20090121
2933,05061330,"UNNAMED POND, TRIB. TO BIG SLOUGH NEAR ROLLAG, MN",8/31/1998,46.7296808,-96.2961756,,24,,,,,,,9.5,,0.37,,,0.37,,0.05,,,0.05,,,,,,5.48,,,,,0.93,,,0.93,HG_MINNESOTANWIS_20090121
2934,05061330,"UNNAMED POND, TRIB. TO BIG SLOUGH NEAR ROLLAG, MN",2/8/1999,46.7296808,-96.2961756,,33,,,,,,,7.5,,1.87,,,1.87,,,,,,,,,,,4.28,,,,,,,,,HG_MINNESOTANWIS_20090121
2935,05061340,"STONY CK (BIG SLOUGH) ABV OUTLT NR BARNESVILLE, MN",9/2/1997,46.6982922,-96.3145094,,19.4,,,,,,,8.8,,0.31,,,0.31,,,,,,,,,,,1.72,,,,,,,,,HG_MINNESOTANWIS_20090121
2936,05061340,"STONY CK (BIG SLOUGH) ABV OUTLT NR BARNESVILLE, MN",3/9/1998,46.6982922,-96.3145094,,6.5,,,,,,,7.7,,0.42,,,0.42,,0.26,,,0.26,,,,,,3,,,,,2.11,,,2.11,HG_MINNESOTANWIS_20090121
2937,05061340,"STONY CK (BIG SLOUGH) ABV OUTLT NR BARNESVILLE, MN",7/6/1998,46.6982922,-96.3145094,,15.4,,,,,19.5,,7.9,,0.7,,,0.7,,,,,,,,,,,2.95,,,,,,,,,HG_MINNESOTANWIS_20090121
2938,05061340,"STONY CK (BIG SLOUGH) ABV OUTLT NR BARNESVILLE, MN",8/31/1998,46.6982922,-96.3145094,,16.9,,,,,,,9.4,,0.13,,,0.13,,,,,,,,,,,1.54,,,,,,,,,HG_MINNESOTANWIS_20090121
2939,05061340,"STONY CK (BIG SLOUGH) ABV OUTLT NR BARNESVILLE, MN",2/8/1999,46.6982922,-96.3145094,,19.5,,,,,,,7,,0.11,,,0.11,,,,,,,,,,,11.6,,,,,,,,,HG_MINNESOTANWIS_20090121
